Messort	3945134
Temperatur	3726942
Witterung	9918665
Fahrer	2184236
FZG-Bezeichnung	0031678
FZG-Nummer	8801103
KFZ-Kennz	2718484
Aufbauzustand	2647410
Motor	7165074
Fahrwerkvariante	2450217
Beladungsvariante	5649391
Achsabstand	5838611
Antriebskonzept	
Antriebstechnik	
Laenderfahrwerk	
Fahrwerk_Modus	
ESP_Modus	
Lenkungs_Modus	
Fahrniveau_Modus	
Achslast.VA	1168951
Achslast.HA	2838034
Radlast.VL	449.000000000000000
Radlast.VR	424.000000000000000
Radlast.HL	396.000000000000000
Radlast.HR	389.000000000000000
Felge.VA	5772481
Felge.HA	5772481
MOSESKonfiguration.Messdauer	8786177
ManoeverBewertung.GesamtBewertung	8786177
Reifen.Fabrikat.VA	1422371
Reifen.Fabrikat.HA	1422371
Reifen.Dimension.VA	2874758
Reifen.Dimension.HA	2874758
Reifen.Druck.VA	7058775
Reifen.Druck.HA	7058775
Reifen.Dimension.VA_Detail.Art	
Reifen.Dimension.VA_Detail.HerstellerInfo	
Reifen.Dimension.HA_Detail.Art	
Reifen.Dimension.HA_Detail.HerstellerInfo	

Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Status_DIS	Status_TRK	GPS_FMS_St	Schwim_MSP	Schwim_MHA	Lichtschra	F_Spur_VL	F_Spur_VR	Radius	Fdiff_Spur	Längengrad	Breitengrd	Höhe	Fahrg_NULL	LenkgeschM	StWhl_Angl	StWhl_AnglSpd	VehSpd_Disp	Odo	AirTemp_Outsd_Disp	AirTemp_Outsd	BrkPdl_Stat	Brk_Stat	BrkTrq_V2	FullBrk_Actv	BrkIntrvntn_Actv_ESP	ESP_CtrlLmp_Info	VehAccel_X_V2	VehAccel_X_Offset	VehAccel_Y_V2	VehAccel_Y_Offset	VehYawRate_Raw	VehYawRateOffset_V2	WhlRPM_FL	WhlRPM_FR	WhlRPM_RL	WhlRPM_RR	AccelPdlPosn_Raw	AccelPdlPosn	KickDnSw_Psd	EngRPM	TankLvl	TankLvl_Disp_V2	SupBat_Volt	SupBat_Curr	StW_Trq_EPS	EPS_FtWhlAngl	EPS_FtWhlAngl_Offset
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
10,034080000	3,849545400	177,090433000	0,841791400	-0,061000000	2,691000000	2,979600000	0,315840600	1,415179500	178,835601000	-0,636030000	2,148750000	-0,411000000	178,039029000	0,999991653	-2736,000000000	0,999991653	-13370,000000000	0,677036900	0,770421300	0,000512720	-484,990400000	639,612200000	946,075480000	1124,356800000	1,528508380	41,258675200	166,629050000	-0,000006912	10,743040000	10,298752000	10,998160000	170,399419000	3402,757000000	22,500000000	22,500000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	-0,079971200	-0,159983060	2,160111100	-0,000002420	2,910000000	-0,050076580	1398,401220000	1404,400260000	1406,399940000	1403,900340000	48,801333800	63,601037900	0,000000000	2932,898010000	96,001998500	63,299644400	14,000887200	12,000484400	4,079509200	0,569954000	-0,049997620
9,828088000	3,890744700	176,945482000	0,861322600	0,083000000	1,853000000	3,111390000	0,307448700	1,433489100	178,868559000	-0,762090000	2,137290000	-0,108000000	177,980278000	0,999991653	-2736,000000000	0,999991653	-13370,000000000	0,689396600	0,786900900	0,000512720	-604,934000000	604,819400000	905,243288000	1209,812800000	1,528508380	41,258675200	166,629050000	-0,000006912	6,897520000	10,398740000	9,998320000	170,399419000	3402,757000000	22,500000000	22,500000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	-0,099961600	-0,159983060	2,219993980	-0,000002420	3,030000000	-0,050076580	1398,401220000	1401,900660000	1406,399940000	1403,900340000	48,801333800	63,601037900	0,000000000	2931,898130000	96,001998500	63,299644400	14,000887200	12,000484400	4,069510400	0,579953200	-0,049997620
9,919640000	3,883115200	176,785273000	0,858881200	0,754000000	2,139000000	3,197340000	0,298293900	1,450272900	178,896024000	0,011460000	1,787760000	0,085000000	177,921527000	0,999991653	-2736,000000000	0,999991653	-13370,000000000	0,681156800	0,782781000	0,000961350	-672,688400000	451,456400000	880,112264000	1124,356800000	1,528508380	41,258675200	166,629050000	-0,000006912	1,953280000	10,498728000	9,998320000	170,399419000	3402,757000000	22,500000000	22,500000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	-0,139942400	-0,159983060	2,259915900	-0,000002420	3,030000000	-0,050076580	1395,401700000	1401,900660000	1405,400100000	1403,900340000	48,801333800	63,601037900	0,000000000	2938,897290000	96,001998500	63,299644400	14,000887200	12,000484400	4,069510400	0,579953200	-0,049997620
10,262960000	3,902951900	176,403823000	0,778315000	0,034000000	2,958000000	2,950950000	0,292190700	1,467056700	178,928982000	-0,217740000	2,108640000	0,507000000	177,868117000	0,999991653	-2736,000000000	0,999991653	-13370,000000000	0,613865100	0,707249500	0,000833170	-619,583600000	427,650800000	951,545712000	1047,446400000	1,528508380	41,258675200	166,629050000	-0,000006912	2,685760000	10,598716000	9,998320000	170,399419000	3402,757000000	22,500000000	22,500000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	-0,179923200	-0,159983060	2,320110670	-0,000002420	3,110000000	-0,050076580	1395,401700000	1405,900020000	1405,400100000	1405,400100000	48,801333800	63,601037900	0,000000000	2936,897530000	96,001998500	63,299644400	14,000887200	12,000484400	4,049512800	0,594952000	-0,049997620
10,148520000	3,956358400	177,136207000	0,687983200	-0,072000000	1,844000000	3,031170000	0,287613300	1,484603400	178,961940000	-0,091680000	1,621590000	0,736000000	177,820048000	0,999991653	-2736,000000000	0,999991653	-13370,000000000	0,520480700	0,615238400	0,001409980	-603,560600000	551,714600000	930,214096000	1155,487200000	1,528508380	41,258675200	166,629050000	-0,000006912	5,249440000	10,698704000	9,998320000	170,399419000	3402,757000000	22,500000000	22,500000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	-0,179923200	-0,159983060	2,360032590	-0,000002420	3,170000000	-0,050076580	1398,901140000	1405,900020000	1405,900020000	1405,400100000	48,801333800	63,601037900	0,000000000	2937,897410000	96,001998500	63,299644400	14,000887200	12,000484400	4,049512800	0,594952000	-0,049997620
10,400288000	3,942625300	177,311674000	0,553706200	0,230000000	1,966000000	3,266100000	0,283035900	1,501387200	178,989405000	-0,114600000	1,678890000	0,250000000	177,771979000	0,999991653	-2736,000000000	0,999991653	-13370,000000000	0,373537600	0,475161800	0,000704990	-609,512000000	605,277200000	864,159328000	1214,696000000	1,528508380	41,258675200	166,629050000	-0,000006912	8,667680000	10,698704000	8,998480000	170,399419000	3402,757000000	22,500000000	22,500000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	-0,139942400	-0,159983060	2,300149710	-0,000002420	3,150000000	-0,050076580	1398,901140000	1400,900820000	1405,900020000	1405,400100000	48,801333800	63,601037900	0,000000000	2932,898010000	96,001998500	63,299644400	14,000887200	12,000484400	4,089508000	0,599951600	-0,049997620
10,285848000	3,965513800	177,807559000	0,592768600	-0,086000000	2,817000000	3,048360000	0,280747200	1,515119400	179,022363000	0,206280000	0,899610000	0,808000000	177,723910000	0,999991653	-2736,000000000	0,999991653	-13370,000000000	0,424349700	0,520480700	0,000897260	-662,616800000	450,998600000	928,474608000	1113,369600000	1,528508380	41,258675200	166,629050000	-0,000006912	11,231360000	10,798692000	8,998480000	170,399419000	3402,757000000	22,500000000	22,500000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	-0,119952000	-0,159983060	2,340071630	-0,000002420	3,110000000	-0,050076580	1397,401380000	1400,900820000	1405,900020000	1405,400100000	48,801333800	63,601037900	0,000000000	2931,898130000	96,001998500	63,299644400	14,000887200	12,000484400	4,089508000	0,599951600	-0,049997620
10,560504000	3,948728900	177,754156000	0,492671200	0,172000000	1,904000000	3,334860000	0,279221400	1,527325800	179,055321000	0,246390000	0,899610000	0,398000000	177,734592000	0,999991653	-2736,000000000	0,999991653	-17466,000000000	0,308992500	0,413363300	0,000769080	-544,962200000	472,515200000	848,458160000	1017,536800000	1,528508380	41,258675200	166,629050000	-0,000006912	10,132640000	10,898680000	8,998480000	170,399419000	3402,757000000	22,500000000	22,500000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	-0,039990400	-0,159983060	2,460149280	-0,000002420	3,150000000	-0,050076580	1397,401380000	1405,900020000	1405,900020000	1406,899860000	48,801333800	63,601037900	0,000000000	2931,898130000	96,001998500	63,299644400	14,000887200	12,000484400	4,149500800	0,609950800	-0,049997620
